Sunday_date,f
2020-12-20,0.00026630084452409754
2020-12-27,0.0003800676462356847
2021-01-03,0.000562881632682666
2021-01-10,0.000656660562008074
2021-01-17,0.000681617912273476
2021-01-24,0.0007045821795271183
2021-01-31,0.0008210476404122143
2021-02-07,0.0007207322489321699
2021-02-14,0.00062678808912355
2021-02-21,0.0007022263064201687
2021-02-28,0.0006412129965876249
2021-03-07,0.0005903024626034569
2021-03-14,0.00041503612072983724
2021-03-21,0.0002988710222984056
2021-03-28,0.00015012855412367497
2021-04-04,0.00012434733643037913
2021-04-11,7.811844172088604e-05
2021-04-18,7.154087982053313e-05
2021-04-25,6.726039577084468e-05
2021-05-02,6.07197784737493e-05
2021-05-09,1.8942894047034504e-05
2021-05-16,2.5749106102007805e-05
2021-05-23,1.897466610564898e-05
2021-05-30,1.155033903965668e-05
2021-06-06,1.598454238216242e-05
2021-06-13,1.5037626303618996e-05
2021-06-20,2.13848937620373e-05
2021-06-27,3.760347305566569e-05
2021-07-04,4.4095890811568665e-05
2021-07-11,0.0001178405838338097
2021-07-18,0.00017190716329679395
2021-07-25,0.0001992301636377414
2021-08-01,0.00046070593188757026
2021-08-08,0.0008585595400522291
2021-08-15,0.0013208814999627738
2021-08-22,0.0014284921123666448
2021-08-29,0.001546011609269707
2021-09-05,0.001456583909774919
2021-09-12,0.0012515909503780388
2021-09-19,0.0008414593884222471
2021-09-26,0.0008318604678790004
2021-10-03,0.0005243993369991048
2021-10-10,0.00041021025525298356
2021-10-17,0.00024470984076861973
2021-10-24,0.00015592281903198992
2021-10-31,0.00013077732649650756
2021-11-07,9.517862530067889e-05
2021-11-14,0.00012453957985876518
2021-11-21,0.00014669385857592445
2021-11-28,0.00010153913468637428
2021-12-05,0.00011079508501995344
2021-12-12,0.00013185942869048238
2021-12-19,0.00018438288309480716
