week_since_last_dose,vaccine_efficacy
0,0.8995300960482178
1,0.891398095888793
2,0.8826198614802632
3,0.8731600729944198
4,0.8629844014864999
5,0.8520601369233279
6,0.8403568954276464
7,0.827847400762119
8,0.8145083307835776
9,0.8003212146588009
10,0.785273361201552
11,0.7693587930142096
12,0.7525791555433561
13,0.7349445651302304
14,0.7164743561747178
15,0.697197685199227
16,0.6771539494508376
17,0.6563929801946763
18,0.6349749763544075
19,0.6129701527450628
20,0.5904580886275679
21,0.5675267761771309
22,0.5442713838631548
23,0.5207927655820788
24,0.4971957613918911
25,0.473587348559054
26,0.45007471115785486
27,0.4267633017447369
28,0.40375496914775305
29,0.38114622211270055
30,0.35902668985570607
31,0.3374778283257237
32,0.3165719063210081
33,0.2963712898275214
34,0.2769280273487151
35,0.25828372472551187
36,0.24046968590152565
37,0.22350728685759066
38,0.2074085437803114
39,0.19217683340061806
40,0.17780772305670883
41,0.16428986994897696
42,0.15160595271824787
43,0.13973360332628262
44,0.12864631271564958
45,0.11831428941313703
46,0.10870525574848924
47,0.09978517141997514
48,0.09151887857717807
49,0.0838706663198577
50,0.07680475550771021
51,0.07028570706758688
52,0.06427875863463427
53,0.058750095454351746
54,0.05366706209492524
55,0.04899832176487053
56,0.044713969985917194
57,0.04078560911197079
58,0.03718638977774033
59,0.033891024859640816
60,0.03087578098030028
61,0.028118452019845017
62,0.025598318536812666
63,0.023296096466437117
64,0.021193877965592706
65,0.01927506681862124
66,0.01752431040974647
67,0.015927429906331527
68,0.014471349981504221
69,0.013144029132071272
70,0.011934391414809727
71,0.010832260227401696
72,0.009828294595571545
73,0.008913928291556938
74,0.008081311997228606
75,0.007323258634570347
76,0.0066331919137335845
77,0.006005098091712795
78,0.005433480890381116
79,0.004913319489029494
80,0.004440029481796204
81,0.004009426672854201
82,0.0036176935705736816
83,0.003261348434939858
84,0.0029372167293092353
85,0.002642404827321723
86,0.0023742758277780136
87,0.0021304273339888624
88,0.0019086710590533805
89,0.0017070141243598048
90,0.001523641925029592
91,0.0013569024428086848
92,0.0012052918938628091
93,0.0010674416059117354
94,0.0009421060260304321
95,0.0008281517671687278
96,0.0007245476079352512
97,0.0006303553664125648
98,0.0005447215746901423
99,0.0004668698864030632
100,0.0003960941548386235
101,0.0003317521241194087
102,0.0002732596805936821
103,0.0002200856158703203
